,Name,Rating,Review,Date
0,Justin Palmer, 1 star ,"Non-existent service. We had to ask for menus, then look for a waiter to place our order and again to get drinks. I would understand if the place was busy, but it was only half full. The deep fried avocado was inedible. The sandwich was mediocre. No manager came to enquire if we were enjoying our food. Absolutely zero customer service here.",7 months ago
1,Isabelle Schreuder, 5 stars ,"We apologize for your experience and are constantly working on ways to improve on both our dishes and in our service, we hope to see you soon. Please look for Mr Chetan on your next visit.",11 months ago
2,Nikolas Konstantinou, 5 stars ,"Great place for breakfast or to work from. I came here 3 times during my 2 week stay and it was a good experience every time. Health wise, the keto breakfast is perfect for me and my go to. Taste wise, the highlight for me is the Turkish Eggs. Great dish, bold but well balanced flavours, very unique. The chai latte is also really well done, one of the only places that doesn’t make their chai lattes sickly sweet but just a hint of sweetness. You pay JBR prices here, it’s not cheap, but it is nice.",9 months ago
3,Ahmer Moten, 5 stars ,"Thanks for your review, we hope to see more of you!",2 weeks ago
4,Emily G, 5 stars ,"3 days in dubai 3 days at Common Grounds JBR. Its that good.

A friend reccomended it and its an absolute joy to be here. The vibe, the service, food and the beverages are all exceptional. So far i was here for  breadfast and lunch and the quality is consistent and very high. The qr menu is easy to navigate and the staff are super useful.

They have Keto and vegan options.

The only minus i had was that they dont have decaf but thats totaly fine at the end of the day",a year ago
5,Henry Makansi, 5 stars ,"Thank you for the wonderful review Nikolas, we are elated that you enjoyed 'The Common Grounds Experience' and we look forward to welcoming you again soon.",a week ago
6,Jess North, 5 stars ,"🤤 I can't believe it's taken me this long to try the breakfast @_common.grounds_ 💯

🍛 Turkish Eggs 🍳
🌶️ Chilli Crab Scramble 🦀
☕ Cafe Mocha with Oat Milk 🥛
🧋Spanish Iced Latte🧋
🍵 Moroccan Tea 🍵
🥑 Avocado Toast with Poached Eggs 🥚
🥑 Avocado Toast with Salmon 🍣

😋 You know the food is great when the kids not only clear their plates, but also end up asking for more! 😃

🙇🏻 I will certainly be thinking about this breakfast for days to come 😊",2 months ago
7,Mariska Wandscher, 5 stars ,Shockingly perfect cappuccino from this little cafe. Super strong. Milk perfectly steamed. Baristas very well trained. Good green juice too. We didn’t eat so can’t comment on the food.,a year ago
8,Dana A, 4 stars ,"Thank you for your lovely review Emily, we look forward to welcoming you again and guarantee that you will enjoy trying out our menu, see you soon.",a year ago
9,Yevgen Sysoyev, 5 stars ,"Common Grounds in Dubai is a must-visit for anyone looking for an excellent coffee experience. The coffee is rich and flavorful, and the staff is knowledgeable and eager to help. The avocado toast is crunchy and flavorful, and the granola is the perfect accompaniment. The atmosphere is comfortable and inviting, and the service is excellent. The baristas are friendly and attentive, and they take the time to explain the different coffees available. This is a great spot to relax and enjoy a quality cup of coffee. Highly recommended!",a year ago
